Issue key,Issue id,"Custom field 
(CRM Company)",Custom field (Environment),Status,Custom field (Request Category),Created,Resolved,Resolution
TSR-402538,594897,Customer 1,,â€‹  WIP- Prod implementation,Software Change,26-Sep-22,,
TSR-402299,594639,Customer 1,,Hold,Infrastructure Change,26-Sep-22,,
TSR-384373,575067,Customer 1,,Waiting on customer,Software Change,29-Aug-22,,
TSR-382794,573367,Customer 1,,Awaiting Prod implementation,Infrastructure Change,26-Aug-22,,
TSR-380665,571039,Customer 1,,Waiting on customer,Software Change,24-Aug-22,,
TSR-378911,568820,Customer 1,,Waiting on customer,Software Change,22-Aug-22,,
TSR-370768,559941,Customer 1,,Waiting on customer,Software Change,09-Aug-22,,
TSR-369737,558841,Customer 1,,Waiting on customer,Software Change,07-Aug-22,,
TSR-369515,558619,Customer 1,,Awaiting Non Prod Implementation,Infrastructure Change,06-Aug-22,,
TSR-369506,558610,Customer 1,,Waiting on customer,Software Change,06-Aug-22,,
TSR-368897,557976,Customer 1,,Waiting on customer,Software Change,05-Aug-22,,
TSR-365313,554043,Customer 1,,Waiting on customer,Software Change,01-Aug-22,,
TSR-346364,533623,Customer 1,,In Review,Software Change,06-Jul-22,,
TSR-345038,532194,Customer 1,,WIP- NON prod Implementation,Software Change,04-Jul-22,,
TSR-342745,529730,Customer 1,,Closed,Infrastructure Change,30-Jun-22,06-Jul-22,Done
TSR-340797,527610,Customer 1,,Waiting on customer,Software Change,28-Jun-22,,
TSR-339770,526473,Customer 1,,Hold,Software Change,27-Jun-22,,
TSR-333358,519491,Customer 1,,Awaiting Prod implementation,Software Change,16-Jun-22,,
TSR-327008,512582,Customer 1,,Waiting on customer,Software Change,07-Jun-22,,
TSR-321923,507056,Customer 1,,Waiting on customer,Software Change,31-May-22,,
TSR-317472,502255,Customer 1,,Waiting on customer,Software Change,24-May-22,,
TSR-316578,501282,Customer 1,,Closed,Infrastructure Change,23-May-22,16-Jun-22,Done
TSR-310565,494720,Customer 1,,Waiting on customer,Software Change,12-May-22,,
TSR-305606,489338,Customer 1,,Waiting on customer,Software Change,04-May-22,,
TSR-300164,483396,Customer 1,,Closed,Infrastructure Change,26-Apr-22,05-May-22,Done
TSR-293464,475608,Customer 1,,Awaiting CAB approval,Software Change,14-Apr-22,,
TSR-291027,472893,Customer 1,,Waiting on customer,Software Change,11-Apr-22,,
TSR-287544,468540,Customer 1,,Closed,Software Change,05-Apr-22,19-May-22,Done
TSR-287354,468316,Customer 1,,Closed,Software Change,05-Apr-22,13-May-22,Done
TSR-283507,464163,Customer 1,,Waiting on customer,Software Change,30-Mar-22,,
TSR-267975,447145,Customer 1,,Waiting on customer,Software Change,11-Mar-22,,
TSR-266117,445094,Customer 1,,Awaiting Non Prod Implementation,Software Change,09-Mar-22,,
TSR-266006,444974,Customer 1,,Awaiting Non Prod Implementation,Software Change,09-Mar-22,,
TSR-252352,430089,Customer 1,,Waiting on customer,Software Change,21-Feb-22,,
TSR-252216,429936,Customer 1,,Closed,Software Change,21-Feb-22,03-May-22,Done
TSR-244264,420776,Customer 1,,Waiting on customer,Software Change,07-Feb-22,,
TSR-238009,413095,Customer 1,,Closed,Software Change,27-Jan-22,10-Mar-22,Done
TSR-234546,409129,Customer 1,,Closed,Infrastructure Change,21-Jan-22,22-Apr-22,Done
TSR-233365,407838,Customer 1,,Closed,Software Change,19-Jan-22,03-May-22,Done
TSR-216206,388697,Customer 1,,Closed,Infrastructure Change,16-Dec-21,15-Jan-22,Done
TSR-193114,362966,Customer 1,,Waiting on customer,Software Change,17-Nov-21,,
TSR-193109,362961,Customer 1,,Waiting on customer,Software Change,17-Nov-21,,
TSR-193103,362955,Customer 1,,Waiting on customer,Software Change,17-Nov-21,,
TSR-193036,362885,Customer 1,,Closed,Software Change,17-Nov-21,07-Feb-22,Done
TSR-181802,350192,Customer 1,,Closed,Infrastructure Change,28-Oct-21,03-May-22,Done
TSR-163600,329829,Customer 1,,Waiting on customer,Software Change,28-Sep-21,,
TSR-49097,194163,Customer 1,,Closed,Infrastructure Change,12-Mar-21,07-Feb-22,Done
TSR-49089,194155,Customer 1,,Closed,Software Change,12-Mar-21,07-Feb-22,Done
TSR-47855,192425,Customer 1,,Closed,Software Change,08-Mar-21,07-Feb-22,Done
TSR-35291,175745,Customer 1,,Closed,Software Change,31-Dec-20,07-Feb-22,Done
TSR-33512,173540,Customer 1,,Closed,Software Change,18-Dec-20,07-Feb-22,Done
TSR-33506,173534,Customer 1,,Closed,Software Change,18-Dec-20,07-Feb-22,Done
TSR-382864,573441,Customer 2,,Awaiting Prod implementation,Infrastructure Change,26-Aug-22,,
TSR-330016,515851,Customer 2,,Waiting on customer,Software Change,11-Jun-22,,
TSR-234552,409137,Customer 2,,Closed,Infrastructure Change,21-Jan-22,23-Feb-22,Done
TSR-172295,339600,Customer 2,,Closed,Software Change,13-Oct-21,11-Apr-22,Done
TSR-151305,311198,Customer 2,,Closed,Software Change,06-Sep-21,12-Jan-22,Done
TSR-408722,601645,Customer 3,,In Review,Software Change,05-Oct-22,,
TSR-404415,596956,Customer 3,,Awaiting Non Prod Implementation,Software Change,28-Sep-22,,
TSR-403224,595670,Customer 3,,Hold,Software Change,27-Sep-22,,
TSR-401430,593720,Customer 3,,Waiting on customer,Software Change,23-Sep-22,,
TSR-401353,593634,Customer 3,,Waiting on customer,Software Change,23-Sep-22,,
TSR-400757,592981,Customer 3,,In Review,Software Change,22-Sep-22,,
TSR-400051,592211,Customer 3,,Waiting on customer,Software Change,21-Sep-22,,
TSR-399019,591060,Customer 3,,Awaiting Non Prod Implementation,Infrastructure Change,20-Sep-22,,
TSR-397892,589817,Customer 3,,Awaiting CAB approval,Software Change,19-Sep-22,,
TSR-397808,589724,Customer 3,,Waiting on customer,Software Change,19-Sep-22,,
TSR-397750,589663,Customer 3,,Customer Replied,Software Change,19-Sep-22,,
TSR-394462,586061,Customer 3,,Waiting on customer,Software Change,13-Sep-22,,
TSR-392159,583553,Customer 3,,Waiting on customer,Software Change,09-Sep-22,,
TSR-389303,580435,Customer 3,,Waiting on customer,Software Change,05-Sep-22,,
TSR-389189,580311,Customer 3,,Waiting on customer,Software Change,05-Sep-22,,
TSR-388399,579466,Customer 3,,Waiting on customer,Software Change,03-Sep-22,,
TSR-387971,579000,Customer 3,,Awaiting CAB approval,Software Change,02-Sep-22,,
TSR-382645,573205,Customer 3,,Awaiting Non Prod Implementation,Software Change,26-Aug-22,,
TSR-381728,572207,Customer 3,,Waiting on customer,Software Change,25-Aug-22,,
TSR-381675,572148,Customer 3,,Waiting on customer,Software Change,25-Aug-22,,
TSR-380794,571187,Customer 3,,Awaiting Non Prod Implementation,Software Change,24-Aug-22,,
TSR-380784,571176,Customer 3,,Waiting on customer,Software Change,24-Aug-22,,
TSR-379095,569017,Customer 3,,Waiting on customer,Software Change,22-Aug-22,,
TSR-378899,568808,Customer 3,,Waiting on customer,Software Change,22-Aug-22,,
TSR-378681,568576,Customer 3,,Waiting on customer,Software Change,21-Aug-22,,
TSR-375853,565512,Customer 3,,Waiting on customer,Software Change,17-Aug-22,,
TSR-373716,563204,Customer 3,,Waiting on customer,Software Change,12-Aug-22,,
TSR-373465,562935,Customer 3,,Waiting on customer,Software Change,12-Aug-22,,
TSR-371986,561336,Customer 3,,Awaiting Non Prod Implementation,Software Change,10-Aug-22,,
TSR-370065,559196,Customer 3,,Waiting on customer,Software Change,08-Aug-22,,
TSR-369511,558615,Customer 3,,Waiting on customer,Software Change,06-Aug-22,,
TSR-368519,557567,Customer 3,,Awaiting CAB approval,Software Change,05-Aug-22,,
TSR-363168,551766,Customer 3,,Awaiting Prod implementation,Infrastructure Change,28-Jul-22,,
TSR-362063,550542,Customer 3,,Waiting on customer,Software Change,27-Jul-22,,
TSR-360955,549346,Customer 3,,Waiting on customer,Software Change,26-Jul-22,,
TSR-359814,548112,Customer 3,,Waiting on customer,Software Change,25-Jul-22,,
TSR-356985,545151,Customer 3,,Waiting on customer,Software Change,21-Jul-22,,
TSR-353920,541806,Customer 3,,Closed,Infrastructure Change,18-Jul-22,26-Aug-22,Done
TSR-353105,540937,Customer 3,,Waiting on customer,Software Change,15-Jul-22,,
TSR-351981,539726,Customer 3,,In Review,Software Change,14-Jul-22,,
TSR-350439,538028,Customer 3,,Waiting on customer,Software Change,12-Jul-22,,
TSR-350376,537950,Customer 3,,Waiting on customer,Software Change,12-Jul-22,,
TSR-350349,537921,Customer 3,,Waiting on customer,Software Change,12-Jul-22,,
TSR-347408,534757,Customer 3,,Waiting on customer,Software Change,07-Jul-22,,
TSR-347333,534679,Customer 3,,Waiting on customer,Software Change,07-Jul-22,,
TSR-347277,534604,Customer 3,,Waiting on customer,Software Change,07-Jul-22,,
TSR-346357,533615,Customer 3,,Waiting on customer,Software Change,06-Jul-22,,
TSR-346284,533534,Customer 3,,Waiting on customer,Software Change,06-Jul-22,,
TSR-344789,531922,Customer 3,,Waiting on customer,Software Change,04-Jul-22,,
TSR-344506,531609,Customer 3,,Canceled,Software Change,04-Jul-22,04-Jul-22,Resolved
TSR-344499,531601,Customer 3,,Waiting on customer,Software Change,04-Jul-22,,
TSR-344150,531242,Customer 3,,Awaiting Non Prod Implementation,Software Change,02-Jul-22,,
TSR-342357,529309,Customer 3,,Waiting on customer,Software Change,30-Jun-22,,
TSR-339852,526559,Customer 3,,Waiting on customer,Software Change,27-Jun-22,,
TSR-339850,526557,Customer 3,,Canceled,Software Change,27-Jun-22,04-Jul-22,Duplicate
TSR-339576,526266,Customer 3,,Hold,Software Change,27-Jun-22,,
TSR-339261,525927,Customer 3,,Hold,Software Change,26-Jun-22,,
TSR-339021,525686,Customer 3,,Waiting on customer,Software Change,25-Jun-22,,
