Issue key,Issue ID,"Custom field 
(CRM Company)",Status,Severity,Original Severity,Created,Resolved,IMT,IMT RCA,Environment,Origin,Start Date & Time,End Date & Time,Downtime,"Issue classification
(Application/Platform)"
TSR-405012,597593,Customer 1,Permanently Closed,Severity 1,Severity 1,29-09-2022 10:57,29-09-2022 11:05,Yes,No,Production,Client,29-09-2022 10:57,29-09-2022 11:05,,Application
TSR-404894,597465,Customer 1,Permanently Closed,Severity 1,Severity 1,29-09-2022 05:25,29-09-2022 06:15,Yes,No,Production,Internal,29-09-2022 05:25,29-09-2022 06:15,,Application
TSR-403934,596422,Customer 1,Permanently Closed,Severity 1,Severity 1,28-09-2022 06:18,28-09-2022 09:00,Yes,No,Production,Client,28-09-2022 06:18,28-09-2022 09:00,,Application
TSR-403849,596334,Customer 1,Permanently Closed,Severity 1,Severity 1,28-09-2022 02:20,28-09-2022 04:08,Yes,No,Production,Internal,28-09-2022 02:20,28-09-2022 04:11,,Application
TSR-400058,592218,Customer 1,Permanently Closed,Severity 1,Severity 1,21-09-2022 21:35,22-09-2022 02:41,Yes,No,Production,Internal,21-09-2022 21:35,22-09-2022 02:41,,Application
TSR-399454,591534,Customer 1,Permanently Closed,Severity 1,Severity 1,21-09-2022 07:59,21-09-2022 15:59,Yes,No,Production,Internal,21-09-2022 07:59,21-09-2022 15:59,,Application
TSR-392825,584259,Customer 1,Permanently Closed,Severity 1,Severity 1,10-09-2022 03:21,10-09-2022 04:43,Yes,No,Production,Internal,10-09-2022 03:21,10-09-2022 03:40,,Application
TSR-390337,581564,Customer 1,Permanently Closed,Severity 1,Severity 1,07-09-2022 04:54,07-09-2022 05:43,No,No,Production,Internal,07-09-2022 04:54,07-09-2022 05:43,,Platform
TSR-388628,579696,Customer 1,Permanently Closed,Severity 1,Severity 1,04-09-2022 15:04,04-09-2022 18:32,Yes,No,Production,Internal,04-09-2022 15:04,04-09-2022 16:40,,Application
TSR-388285,579347,Customer 1,Permanently Closed,Severity 1,Severity 1,03-09-2022 01:59,03-09-2022 09:54,Yes,No,Production,Internal,03-09-2022 01:59,03-09-2022 02:33,,Application
TSR-388261,579313,Customer 1,Permanently Closed,Severity 1,Severity 1,03-09-2022 00:12,03-09-2022 04:09,Yes,No,Production,Internal,03-09-2022 00:12,03-09-2022 04:09,,Application
TSR-387855,578874,Customer 1,Permanently Closed,Severity 1,Severity 1,02-09-2022 15:15,02-09-2022 16:19,Yes,No,Production,Internal,02-09-2022 15:15,02-09-2022 16:19,,Application
TSR-387579,578569,Customer 1,Permanently Closed,Severity 1,Severity 1,02-09-2022 06:49,02-09-2022 09:56,Yes,No,Production,Client,02-09-2022 06:49,02-09-2022 09:56,,Application
TSR-387461,578444,Customer 1,Permanently Closed,Severity 1,Severity 2,02-09-2022 01:31,02-09-2022 05:29,Yes,No,Production,Internal,02-09-2022 03:11,02-09-2022 05:25,,Application
TSR-386790,577701,Customer 1,Permanently Closed,Severity 1,Severity 1,01-09-2022 09:38,01-09-2022 12:32,Yes,No,Production,Client,01-09-2022 09:38,01-09-2022 12:32,,Platform
TSR-386718,577624,Customer 1,Permanently Closed,Severity 1,Severity 1,01-09-2022 06:16,01-09-2022 06:33,Yes,No,Production,Client,01-09-2022 06:16,01-09-2022 06:32,,Application
TSR-373376,562832,Customer 2,Permanently Closed,Severity 1,Severity 1,12-08-2022 06:49,12-08-2022 07:42,No,No,Production,Internal,12-08-2022 06:49,12-08-2022 07:35,,Application
TSR-371605,560884,Customer 2,Permanently Closed,Severity 1,Severity 1,10-08-2022 06:40,10-08-2022 07:46,No,No,Production,Client,10-08-2022 06:40,10-08-2022 07:45,,Application
TSR-371560,560835,Customer 2,Permanently Closed,Severity 1,Severity 1,10-08-2022 04:31,10-08-2022 05:53,Yes,No,Production,Internal,10-08-2022 04:31,10-08-2022 05:52,,Application
TSR-369903,559011,Customer 2,Permanently Closed,Severity 1,Severity 1,08-08-2022 11:28,08-08-2022 12:14,Yes,No,Production,Client,08-08-2022 11:18,08-08-2022 11:30,,Application
TSR-369900,559008,Customer 2,Permanently Closed,Severity 1,Severity 1,08-08-2022 11:27,08-08-2022 12:14,Yes,No,Production,Client,08-08-2022 11:18,08-08-2022 11:30,,Application
TSR-369331,558434,Customer 2,Permanently Closed,Severity 1,Severity 1,06-08-2022 05:19,06-08-2022 06:57,No,Yes,Production,Internal,06-08-2022 05:19,06-08-2022 06:56,,Application
TSR-368975,558055,Customer 2,Permanently Closed,Severity 1,Severity 2,05-08-2022 18:53,06-08-2022 00:44,Yes,No,Production,Client,05-08-2022 18:53,06-08-2022 00:44,,Product
TSR-368499,557546,Customer 2,Permanently Closed,Severity 1,Severity 1,05-08-2022 05:53,05-08-2022 13:33,Yes,No,Production,Internal,05-08-2022 05:53,05-08-2022 07:36,,Application
TSR-368407,557448,Customer 2,Permanently Closed,Severity 1,Severity 1,05-08-2022 02:05,05-08-2022 02:39,Yes,No,Production,Internal,05-08-2022 02:05,05-08-2022 02:35,,Application
TSR-352914,540735,Customer 2,Permanently Closed,Severity 1,Severity 1,15-07-2022 12:03,15-07-2022 12:50,,,,Client,15-07-2022 12:03,15-07-2022 12:50,,Application
TSR-346428,533695,Customer 2,Permanently Closed,Severity 1,Severity 1,06-07-2022 14:03,08-07-2022 03:01,,,,Client,06-07-2022 14:03,08-07-2022 02:58,,Application
TSR-335829,522189,Customer 2,Permanently Closed,Severity 1,Severity 1,21-06-2022 12:30,21-06-2022 20:33,,,,Client,21-06-2022 12:30,21-06-2022 20:33,,
TSR-334942,521238,Customer 2,Permanently Closed,Severity 1,Severity 1,20-06-2022 10:59,20-06-2022 14:37,,,,Client,20-06-2022 10:59,20-06-2022 14:37,,
TSR-333352,519484,Customer 2,Customer Replied,Severity 1,Severity 1,16-06-2022 17:59,n/a,,,,Internal,16-06-2022 17:59,n/a,,
TSR-330650,516517,Customer 2,Permanently Closed,Severity 1,Severity 1,13-06-2022 17:39,13-06-2022 19:35,,,,Client,13-06-2022 17:39,13-06-2022 19:35,,
TSR-330404,516255,Customer 2,Permanently Closed,Severity 1,Severity 1,13-06-2022 13:26,13-06-2022 15:51,,,,Client,13-06-2022 13:26,13-06-2022 15:40,,
TSR-326392,511907,Customer 2,Permanently Closed,Severity 1,Severity 1,07-06-2022 06:02,07-06-2022 15:06,,,,Client,07-06-2022 06:02,07-06-2022 09:42,,
TSR-323825,509091,Customer 2,Permanently Closed,Severity 1,Severity 1,02-06-2022 12:16,02-06-2022 13:21,,,,Client,02-06-2022 12:16,02-06-2022 13:10,,
TSR-381501,571944,Customer 3,Permanently Closed,Severity 1,Severity 1,25-08-2022 04:32,25-08-2022 04:59,Yes,No,Production,Internal,25-08-2022 04:22,25-08-2022 04:35,,Application
TSR-378426,568319,Customer 3,Permanently Closed,Severity 1,Severity 1,20-08-2022 11:22,20-08-2022 11:57,Yes,No,Production,Internal,20-08-2022 11:22,20-08-2022 11:57,,Platform
TSR-375066,564637,Customer 3,Permanently Closed,Severity 1,Severity 1,16-08-2022 10:27,16-08-2022 10:46,Yes,No,Production,Client,16-08-2022 10:27,16-08-2022 10:44,0:17:00,Application
TSR-366908,555826,Customer 3,Permanently Closed,Severity 1,Severity 2,03-08-2022 12:02,03-08-2022 13:54,Yes,No,Production,Client,03-08-2022 12:02,03-08-2022 14:48,,Application
TSR-365639,554403,Customer 3,Permanently Closed,Severity 1,Severity 1,01-08-2022 20:18,01-08-2022 21:05,No,No,Production,Internal,01-08-2022 20:18,01-08-2022 21:05,0:47:00,Application
TSR-344751,531883,Customer 3,Permanently Closed,Severity 1,Severity 1,04-07-2022 15:02,04-07-2022 16:12,,,,Internal,04-07-2022 14:46,04-07-2022 15:32,,Platform
TSR-338440,525056,Customer 3,Permanently Closed,Severity 1,Severity 1,24-06-2022 13:51,24-06-2022 15:22,,,,Internal,24-06-2022 13:41,24-06-2022 14:43,,
TSR-331417,517343,Customer 3,Permanently Closed,Severity 1,Severity 1,14-06-2022 14:41,14-06-2022 15:00,,,,Internal,14-06-2022 14:41,14-06-2022 15:00,,
TSR-329365,515173,Customer 3,Permanently Closed,Severity 1,Severity 1,10-06-2022 18:52,10-06-2022 21:30,,,,Internal,10-06-2022 18:44,10-06-2022 19:53,,
TSR-403975,596468,Customer 4,Permanently Closed,Severity 1,Severity 1,28-09-2022 08:28,28-09-2022 09:12,No,No,Production,Internal,28-09-2022 08:28,28-09-2022 09:12,,Platform
TSR-401808,594119,Customer 4,Permanently Closed,Severity 1,Severity 1,24-09-2022 03:57,24-09-2022 16:44,Yes,No,Production,Internal,24-09-2022 03:57,24-09-2022 16:47,,Application
TSR-400395,592607,Customer 4,Permanently Closed,Severity 1,Severity 2,22-09-2022 12:38,22-09-2022 12:49,Yes,No,Production,Internal,22-09-2022 12:38,22-09-2022 12:49,,Platform
TSR-400303,592492,Customer 4,Permanently Closed,Severity 1,Severity 1,22-09-2022 09:33,22-09-2022 10:31,Yes,No,Production,Internal,22-09-2022 09:33,22-09-2022 10:31,,Platform
TSR-400295,592481,Customer 4,Permanently Closed,Severity 1,Severity 1,22-09-2022 09:04,22-09-2022 10:59,Yes,No,Production,Client,22-09-2022 09:04,22-09-2022 10:59,,Platform
TSR-387792,578806,Customer 4,Permanently Closed,Severity 1,Severity 1,02-09-2022 14:00,02-09-2022 15:13,Yes,No,Production,Internal,02-09-2022 14:00,02-09-2022 15:13,,Application
TSR-374591,564134,Customer 4,Permanently Closed,Severity 1,Severity 1,15-08-2022 13:56,15-08-2022 14:31,Yes,No,Production,Internal,15-08-2022 13:56,15-08-2022 14:31,,Platform
TSR-372297,561658,Customer 4,Permanently Closed,Severity 1,Severity 1,10-08-2022 23:47,11-08-2022 05:30,Yes,No,Production,Client,10-08-2022 23:47,11-08-2022 00:47,,Application
TSR-372295,561656,Customer 4,Permanently Closed,Severity 1,Severity 1,10-08-2022 23:44,11-08-2022 00:31,Yes,No,Production,Client,10-08-2022 23:44,11-08-2022 00:47,,Application
TSR-371516,560787,Customer 4,Permanently Closed,Severity 1,Severity 1,10-08-2022 03:01,10-08-2022 04:07,Yes,No,Production,Client,10-08-2022 03:01,10-08-2022 04:07,,Application
TSR-369611,558715,Customer 4,Permanently Closed,Severity 1,Severity 1,07-08-2022 09:23,07-08-2022 10:04,Yes,No,Production,Internal,07-08-2022 09:23,07-08-2022 09:59,,Platform
