Issue key,Issue ID,"Custom field 
(CRM Company)",Status,Severity,Original Severity,Created,Resolved,IMT,IMT RCA,Environment,Origin,Start Date & Time,End Date & Time,Downtime,"Issue classification
(Application/Platform)"
TSR-405012,597593,Customer 1,Permanently Closed,Severity 1,Severity 1,29-09-2022 10:57,29-09-2022 11:05,Yes,No,Production,Client,9-29-22 10:57 AM,9-29-22 11:05 AM,,Application
TSR-404894,597465,Customer 1,Permanently Closed,Severity 1,Severity 1,29-09-2022 05:25,29-09-2022 06:15,Yes,No,Production,Internal,9-29-22 5:25 AM,9-29-22 6:15 AM,,Application
TSR-403934,596422,Customer 1,Permanently Closed,Severity 1,Severity 1,28-09-2022 06:18,28-09-2022 09:00,Yes,No,Production,Client,9-28-22 6:18 AM,9-28-22 9:00 AM,,Application
TSR-403849,596334,Customer 1,Permanently Closed,Severity 1,Severity 1,28-09-2022 02:20,28-09-2022 04:08,Yes,No,Production,Internal,9-28-22 2:20 AM,9-28-22 4:11 AM,,Application
TSR-400058,592218,Customer 1,Permanently Closed,Severity 1,Severity 1,21-09-2022 21:35,22-09-2022 02:41,Yes,No,Production,Internal,9-21-22 9:35 PM,22-09-2022 02:41,,Application
TSR-399454,591534,Customer 1,Permanently Closed,Severity 1,Severity 1,21-09-2022 07:59,21-09-2022 15:59,Yes,No,Production,Internal,9-21-22 7:59 AM,9-21-22 3:59 PM,,Application
TSR-392825,584259,Customer 1,Permanently Closed,Severity 1,Severity 1,10-09-2022 03:21,10-09-2022 04:43,Yes,No,Production,Internal,9-10-22 3:21 AM,9-10-22 3:40 AM,,Application
TSR-390337,581564,Customer 1,Permanently Closed,Severity 1,Severity 1,07-09-2022 04:54,07-09-2022 05:43,No,No,Production,Internal,9-7-22 4:54 AM,9-7-22 5:43 AM,,Platform
TSR-388628,579696,Customer 1,Permanently Closed,Severity 1,Severity 1,04-09-2022 15:04,04-09-2022 18:32,Yes,No,Production,Internal,9-4-22 3:04 PM,9-4-22 4:40 PM,,Application
TSR-388285,579347,Customer 1,Permanently Closed,Severity 1,Severity 1,03-09-2022 01:59,03-09-2022 09:54,Yes,No,Production,Internal,9-3-22 1:59 AM,9-3-22 2:33 AM,,Application
TSR-388261,579313,Customer 1,Permanently Closed,Severity 1,Severity 1,03-09-2022 00:12,03-09-2022 04:09,Yes,No,Production,Internal,9-3-22 12:12 AM,9-3-22 4:09 AM,,Application
TSR-387855,578874,Customer 1,Permanently Closed,Severity 1,Severity 1,02-09-2022 15:15,02-09-2022 16:19,Yes,No,Production,Internal,9-2-22 3:15 PM,9-2-22 4:19 PM,,Application
TSR-387579,578569,Customer 1,Permanently Closed,Severity 1,Severity 1,02-09-2022 06:49,02-09-2022 09:56,Yes,No,Production,Client,9-2-22 6:49 AM,9-2-22 9:56 AM,,Application
TSR-387461,578444,Customer 1,Permanently Closed,Severity 1,Severity 2,02-09-2022 01:31,02-09-2022 05:29,Yes,No,Production,Internal,9-2-22 3:11 AM,9-2-22 5:25 AM,,Application
TSR-386790,577701,Customer 1,Permanently Closed,Severity 1,Severity 1,01-09-2022 09:38,01-09-2022 12:32,Yes,No,Production,Client,9-1-22 9:38 AM,9-1-22 12:32 PM,,Platform
TSR-386718,577624,Customer 1,Permanently Closed,Severity 1,Severity 1,01-09-2022 06:16,01-09-2022 06:33,Yes,No,Production,Client,9-1-22 6:16 AM,9-1-22 6:32 AM,,Application
